VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-12-01 00:00:42,2015-12-01 00:08:27,1,1.95,-73.989822387695313,40.735401153564453,1,N,-73.982177734375,40.758071899414063,1,8.5,0.5,0.5,2.94,0,0.3,12.74
2,2015-12-01 00:00:42,2015-12-01 00:20:29,1,13.70,-73.777053833007812,40.646305084228516,1,N,-73.768898010253906,40.765853881835938,2,37,0.5,0.5,0,0,0.3,38.3
1,2015-12-01 00:00:43,2015-12-01 00:12:47,1,3.50,-73.962051391601562,40.759498596191406,1,N,-73.969367980957031,40.794559478759766,2,12.5,0,0.5,0,0,0.3,13.3
1,2015-12-01 00:00:44,2015-12-01 00:25:11,1,11.90,-73.863418579101562,40.769954681396484,1,N,-74.003379821777344,40.734203338623047,1,35,0.5,0.5,7.25,0,0.3,43.55
2,2015-12-01 00:00:44,2015-12-01 00:15:50,2,3.86,-73.983566284179688,40.770969390869141,1,N,-73.956428527832031,40.747348785400391,1,14.5,0.5,0.5,3.16,0,0.3,18.96
1,2015-12-01 00:00:45,2015-12-01 00:00:59,1,.00,-73.909408569335937,40.778621673583984,3,Y,-73.909408569335937,40.778621673583984,3,2.5,0.5,0.5,0,0,0.3,3.8
2,2015-12-01 00:00:45,2015-12-01 00:20:11,4,10.72,-73.873207092285156,40.774150848388672,1,N,-73.982452392578125,40.762035369873047,2,30,0.5,0.5,0,5.54,0.3,36.84
2,2015-12-01 00:00:45,2015-12-01 00:21:18,1,5.45,-73.989761352539063,40.734466552734375,1,N,-73.952964782714844,40.800872802734375,1,19,0.5,0.5,3,0,0.3,23.3
1,2015-12-01 00:00:46,2015-12-01 00:19:35,1,5.50,-73.997993469238281,40.740741729736328,1,N,-73.926254272460938,40.757110595703125,1,18.5,0.5,0.5,3.95,0,0.3,23.75
1,2015-12-01 00:00:46,2015-12-01 00:12:08,1,2.60,-74.004203796386719,40.752056121826172,1,N,-74.004203796386719,40.720985412597656,2,11,0.5,0.5,0,0,0.3,12.3
2,2015-12-01 00:00:47,2015-12-01 00:12:34,1,5.49,-73.942367553710938,40.832969665527344,1,N,-73.989219665527344,40.773918151855469,2,17,0.5,0.5,0,0,0.3,18.3
2,2015-12-01 00:00:47,2015-12-01 00:03:50,2,.45,-73.988746643066406,40.722293853759766,1,N,-73.983505249023437,40.726009368896484,2,4,0.5,0.5,0,0,0.3,5.3
2,2015-12-01 00:00:47,2015-12-01 00:08:36,1,1.30,-73.976028442382813,40.755859375,1,N,-73.962882995605469,40.758480072021484,1,7.5,0.5,0.5,1.76,0,0.3,10.56
1,2015-12-01 00:00:48,2015-12-01 00:17:10,1,7.20,-73.873016357421875,40.774036407470703,1,N,-73.931312561035156,40.703804016113281,1,22,0.5,0.5,5.8,0,0.3,29.1
